MOUSE CODE,GENERAL CODE,STEP NUMBER,ETS,EIT,EPL,NTS,NIT,NPL
C1B,CB,1,9.68,2.63,12.39,7.55,1.53,9.85
C1B,CB,2,7.72,2.03,12.28,8.6,1.98,8.63
C1B,CB,3,6.88,2.55,9.32,8.45,2.12,10.23
C1B,CB,4,8.14,2.42,13.66,9.13,2.25,10.11
C2B,CB,1,9.01,2.56,10.26,9.07,2.2,13.79
C2B,CB,2,7.57,2.21,11.36,8.64,2.04,11.05
C2B,CB,3,6.47,2.37,8.3,8.76,2.16,11.82
C2B,CB,4,5.52,1.87,10.04,8.4,1.86,11.75
C3B,CB,1,9.15,3.9,12.76,9.91,6.57,12.24
C3B,CB,2,9.99,4.57,11.04,9.94,5.83,11.07
C3B,CB,3,8.75,5.28,10.11,7.96,4.66,11.39
C3B,CB,4,8.43,5.01,9.12,7.31,4.97,10.33
C4B,CB,1,9.43,2.42,11.98,8.58,4.16,11.48
C4B,CB,2,9.75,3.06,9.55,8.53,4.58,8.82
C4B,CB,3,9.23,3.64,11.01,8.31,4.15,8.83
C4B,CB,4,9.06,3.7,11.28,8.65,4.26,10.5
C4B,CB,5,9.29,4.07,12.38,8.27,2.46,9.42
C5B,CB,1,9.8,4.59,11.18,8.64,3.99,9.35
C5B,CB,2,8.92,3.47,12.34,10.08,5.96,11.71
C5B,CB,3,9.82,4.07,12.28,10.11,6.52,11.51
C5B,CB,4,9.35,4.68,10.12,9.68,5.19,9.63
C5B,CB,5,8.09,2.62,10.81,9,2.59,9.25
P1B,PB,1,9.62,7.66,13.21,10.11,5.36,10.57
P1B,PB,2,10.29,6.81,10.78,7.8,4.99,10.37
P1B,PB,3,10.63,7.35,9.1,9.11,6.21,10.48
P1B,PB,4,10,6.77,9.68,8.74,6.17,10.29
P1B,PB,5,10.56,6.66,11.87,8.98,4.97,9.09
P1B,PB,6,11.6,8.27,13.72,7.51,3.39,10.7
P2B,PB,1,8.85,2.99,10.57,9.16,3.95,8.5
P2B,PB,2,7.09,5.47,9.8,9.92,7.96,9.89
P2B,PB,3,9.76,5.75,11.45,10.78,5.18,12.65
P2B,PB,4,10.06,5.2,13.24,8.28,4.75,9.62
P3B,PB,1,8.64,5.05,12.75,7.5,4.62,12.08
P3B,PB,2,9.74,4.41,13,8.22,4.42,9.7
P3B,PB,3,9.12,5.32,14.59,7.96,4.33,10.32
P3B,PB,4,9.69,3.72,14.23,7.56,6.49,13.09
P3B,PB,5,8.5,5.92,11.44,11.03,3.05,12.08
P3B,PB,6,11.43,5.79,12.26,8.59,3.61,12.03
P3B,PB,7,11.29,5.1,13.31,7.21,3.37,9.11
P4B,PB,1,10.18,6.59,12.98,11.01,6.04,12.34
P4B,PB,2,12.2,7.52,14.09,8.55,3.79,9.4
P4B,PB,3,8.57,4.16,11.54,7.12,4.55,11.51
P5B,PB,1,11.23,6.82,13.38,8.92,4.68,14.56
P5B,PB,2,7.11,4.01,11.39,6.57,4.11,10.21
P5B,PB,3,10.67,7.11,12.01,6.94,3.24,10.63
P5B,PB,4,11.39,7.23,11.51,6.43,2.81,7.24
P5B,PB,5,9.18,6.44,11.27,7.17,2.79,7.52
N1B,NB,1,7.91,5.51,11.78,7.29,4.01,10.51
N1B,NB,2,6.55,4.13,9.48,6.44,3.34,9.32
N1B,NB,3,8.07,4.81,11.48,8.04,3.9,10.59
N1B,NB,4,8.58,4.09,9.91,6.1,3.64,10.62
N2B,NB,1,9.44,5.79,13.07,7.73,4.47,12.83
N2B,NB,2,8.72,6.54,13.13,6.39,3.81,10.55
N2B,NB,3,8.42,4.68,11.46,9.85,5.42,14.92
N2B,NB,4,9.32,5.14,14.76,8.93,5.11,12.9
N2B,NB,5,9.41,4.41,12.34,9.19,5.14,14.52
N3B,NB,1,8.35,4.58,12.19,7.9,3.48,10.92
N3B,NB,2,9.11,4.07,14.69,8.69,3.31,10.08
N3B,NB,3,9.57,4.28,11.11,8.87,3.51,11.17
N3B,NB,4,9.46,3.59,10.44,7.93,2.69,9.15
N3B,NB,5,8.9,2.96,10.78,8.56,3.93,9.2
N3B,NB,6,8.74,3.92,10.05,7.99,4.04,11.05
N4B,NB,1,9.61,5.95,14,10.11,5.64,14.16
N4B,NB,2,9.33,6,11.78,9.44,4.72,10.94
N4B,NB,3,8.81,3.47,9.9,9.55,4.54,10.89
N4B,NB,4,9.72,5.18,11.92,9.08,4.33,11.16
N4B,NB,5,7.8,4.19,12.27,7.51,5.71,9.16
N5B,NB,1,10.66,8.13,12.63,9.49,5.85,10.37
N5B,NB,2,10.25,7.05,10.8,9.97,6.44,7.96
N5B,NB,3,10.93,7.04,11.19,7.67,5.26,10.87
N5B,NB,4,9.83,6.52,9.72,9.56,6.37,9.52
N5B,NB,5,8.72,5.26,10.04,7.98,5.56,9.09
S1B,SB,1,10.27,5.76,15.63,8.32,5.2,11.25
S1B,SB,2,9.11,3.47,14.13,8.48,3.77,12.56
S1B,SB,3,9.32,4.67,13.25,8.81,4.29,11.75
S1B,SB,4,9.59,3.99,14.81,9.28,5.07,11.78
S1B,SB,5,9.33,4.41,14.8,9.15,4.53,11.54
S2B,SB,1,9.58,5.68,11.47,8.74,6.24,11.93
S2B,SB,2,9.76,5.28,10.93,9.08,6.02,10.66
S2B,SB,3,9.25,4.57,9.51,9.43,6.09,10.82
S2B,SB,4,9.43,4.22,9.51,9.16,6.4,11.13
S3B,SB,1,10.61,5.92,9.68,10.96,7.31,10.99
S3B,SB,2,9.26,5.71,11.89,11.13,7.11,10.57
S3B,SB,3,8.97,4.41,9.23,10.25,4.23,8.47
S3B,SB,4,11.01,6.48,11.09,10.45,4.43,10.03
S4B,SB,1,8.36,4.15,10.86,8.94,3.91,9.26
S4B,SB,2,10.8,4.47,11.02,8.82,3.74,7.38
S4B,SB,3,10.35,2.97,11.01,9.36,3.62,7.77
S4B,SB,4,10.83,4.66,14.89,9.03,3.94,8.29
S4B,SB,5,10.55,4.85,13.97,9.02,4.57,11.96
S4B,SB,6,10.96,6.18,12.67,10.01,3.9,9.45
S4B,SB,7,11.17,6.35,11.98,10.03,5.02,10.07
S4B,SB,8,10.63,6.79,10.6,9.71,4.69,10.54
S4B,SB,9,10.12,5.53,12.79,9.62,3.57,9.43
S5B,SB,1,9.64,4.87,7.98,8.98,6.86,11.52
S5B,SB,2,9.57,4.57,12.74,9.94,6.02,10.35
S5B,SB,3,9.99,5.38,9.62,8.81,4.51,8.32
S5B,SB,4,9.29,5,8.7,9.92,5.73,10.8
S5B,SB,5,6.47,4.55,7.8,9.56,2.88,10.85
C1W1,CW1,1,9.45,4.61,9.62,10.24,6.06,11.21
C1W1,CW1,2,10.45,6.07,8.79,10.01,6.14,9.82
C1W1,CW1,3,9.4,5.39,8.2,10.25,6.1,12.22
C1W1,CW1,4,9.26,5.1,10.54,9.19,4.12,10.23
C1W1,CW1,5,9.86,6.28,11.98,9.76,4.71,12
